,종류,공고번호,발견장소,특징,성별,상태
0,인천-부평-2024-00156,인천광역시 부평구 ..,부평동768-287..,수컷,중성화,코솟|고등어
4,인천-부평-2024-00158,인천광역시 부평구 ..,부평동768-287..,암컷,중성화,코솟|고등어
8,서울-노원-2024-00283,산장파크빌주변,.,수컷,포획,코숏|고등어
12,인천-부평-2024-00155,인천광역시 부평구 ..,부평동768-287..,암컷,중성화,코솟|고등어
16,서울-동작-2024-00244,상도로45길 44-..,사나움,수컷,중성화,KSH|검정색
20,제주-제주-2024-01220,연동 비월 2길 1..,없음,수컷,중성화,ksc|고등어
24,전북-전주-2024-01126,완산구 호암로 88..,종합백신 광견병백신..,수컷,중성화,KSH|고등어
28,경남-통영-2024-00294,멘데1길 61,발정기,암컷,중성화,코리안 숏헤어|삼색
32,경남-통영-2024-00295,멘데1길 61,안면부  다수 상처..,수컷,중성화,코리안 숏헤어|치즈태비
36,대구-북구-2024-00122,동천로 138-14..,2주항생제투여,암컷,중성화,코셧|턱시도
40,대구-북구-2024-00123,동천로 138-14..,2주항생제투여,암컷,중성화,코셧|삼색
44,인천-부평-2024-00153,부영로165,없음,수컷,중성화,한국고양이|치즈
48,대전-유성-2024-00212,관평동 관들2길,없음,암컷,중성화,KSH|흑백색
52,경북-문경-2024-00189,동로,없음,암컷,중성화,한국고양이|황색
56,경남-합천-2024-00295,합천읍 중앙로 20..,온순,수컷,중성화,한국고양이|노란색
60,서울-양천-2024-00277,목동중앙남로16길2..,사나움,수컷,중성화,한국고양이|검정
64,경기-남양주-2024-01095,금곡로19번길17,"사나움,진통제 투여..",암컷,중성화,k.c.|삼색
68,서울-용산-2024-00265,용산구 녹사평대로4..,양호함,수컷,중성화,코숏|치즈냥이
72,경기-남양주-2024-01099,대명루첸1차,없음,암컷,중성화,ksh|검정색 갈색줄무늬
76,서울-중구-2024-00156,원불교중구교당,귀진드기,수컷,중성화,한국고양이|노랑
80,경기-의왕-2024-00147,오전동 길 6,없음,수컷,중성화,코숏|젖소
84,전남-나주-2024-00142,나주시문평면신경길1..,약간 사나움,수컷,중성화,한국고양이|검갈
88,경기-하남-2024-00215,서하남로 573,귀진드기 기생충감염..,수컷,중성화,코숏|젖소
92,서울-구로-2024-00201,남부순환로95길54..,양호,수컷,중성화,ksh|고등어
96,서울-서대문-2024-00388,통일로493,허피스감염  기생충..,수컷,중성화,ksh|고등어
100,전북-전주-2024-01123,덕진구 도당산로 4..,종합백신 광견병백신..,수컷,중성화,KSH|흰색갈색
104,서울-관악-2024-00170,솔밭로5길16,없음,수컷,중성화,한국고양이|노랑
108,서울-영등포-2024-00156,양평동 33-3,없음,암컷,중성화,한국고양이|황색
112,서울-서대문-2024-00387,증가로10길82-2..,허피스감염 구내염 ..,수컷,방사,ksh|고등어
116,서울-구로-2024-00198,남부순환로95길54..,양호,수컷,중성화,ksh|턱시도
120,서울-송파-2024-00545,가락동105-4,없음,수컷,중성화,코숏|갈고등
124,인천-부평-2024-00159,백운로14,고등어,암컷,중성화,한국고양이|고등어
128,경북-문경-2024-00187,동로마광,경계함,암컷,중성화,한국고양이|흑갈색
132,경기-광명-2024-00309,경기도 광명시 하안..,없음,수컷,중성화,코리안숏헤어|치즈
136,서울-용산-2024-00263,이촌동 한강맨션 3..,없음,수컷,방사,한국고양이|검정
140,서울-영등포-2024-00153,국제금융로 70,없음,암컷,중성화,한국고양이|고등어색
144,경기-화성-2024-01109,기안동 264,없음,암컷,중성화,코숏|삼색
148,경기-화성-2024-01112,안녕길 42-17,없음,수컷,방사,코숏|치즈
152,대구-수성-2024-00272,수성로 32길 72..,양호,수컷,중성화,코숏|치즈
156,경기-화성-2024-01113,안녕길 42-17,없음,수컷,방사,코숏|치즈
160,서울-구로-2024-00195,구로중앙로10-1,양호,수컷,중성화,ksh|고등어
164,경기-화성-2024-01110,정남면 문학리 16..,없음,암컷,중성화,코숏|삼색
168,경기-성남-2024-00339,분당구 구미동 14..,없음,암컷,중성화,DSH|삼색
172,경기-파주-2024-00370,지내울길81,없음,수컷,방사,코숏|아이보리
176,경기-파주-2024-00372,지내우길81,없음,수컷,방사,코숏|치즈(젖소)
180,경기-파주-2024-00371,지내울길81,없음,수컷,방사,코숏|아이보리
184,대구-남구-2024-00081,대구광역시 남구 대..,없음,수컷,중성화,"코리안 숏헤어|흰색, 검정"
188,울산-남구-2024-00117,아이파크2차 107..,임신초기,암컷,중성화,한국산고양이|흰색
192,경북-상주-2024-00519,태봉1길 27-2,특이사항 없음,수컷,중성화,코숏|치즈태비
196,인천-연수-2024-00150,먼우금로 299 태..,없음,수컷,방사,코숏|갈색
200,인천-남동-2024-00313,석정로552번길39..,"검정,턱밑,발끝  ..",수컷,중성화,코숏|검정
204,경기-고양-2024-00594,식사동 1480,,암컷,중성화,KSH|턱시도
208,경기-고양-2024-00593,문촌마을 14단지,,수컷,중성화,KSH|블랙
212,대구-수성-2024-00268,들안로 40길 21..,.,수컷,중성화,코숏|흰 + 검 + 갈
216,경기-고양-2024-00596,견달산로 161번길..,,수컷,중성화,KSH|치즈
220,경북-상주-2024-00521,상풍로 604-17..,특이사항 없음,암컷,중성화,코숏|치즈태비
224,울산-북구-2024-00135,만화도서관,온순,암컷,방사,코리안숏헤어|치즈
228,경남-고성-2024-00881,경상남도 고성군 하..,사나움,수컷,중성화,믹스|흰검
232,경기-고양-2024-00598,견달산로 161번길..,임신,암컷,중성화,KSH|고등어
236,인천-부평-2024-00150,동암광장로12번길8..,턱시도,수컷,방사,한국고양이|턱시도
240,제주-서귀포-2024-00446,표선면 한마음초등로..,삼색이,수컷,중성화,한국고양이|검정/흰색/갈색
244,전북-진안-2024-00255,석전길,없음,암컷,중성화,코리언숏헤어|흰색/검정/갈색
248,전북-진안-2024-00258,석전길,없음,수컷,방사,코리언숏헤어|흰색/검정
252,경기-평택-2024-00433,평택시 오성면 안화..,배는 흰 털,수컷,중성화,코숏|노랑
256,경기-광명-2024-00308,경기도 광명시 밤일..,없음,암컷,중성화,코리안숏헤어|믹스
260,전북-진안-2024-00259,두원길,없음,암컷,중성화,코리언숏헤어|검정/회색
264,경남-합천-2024-00293,대병면 성리4길 일..,온순,수컷,방사,한국고양이|검은색
268,대전-유성-2024-00210,용산동 배울1로,없음,수컷,방사,KSH|고등어색
272,전북-진안-2024-00260,두원길,없음,암컷,중성화,코리언숏헤어|검정/회색
276,전북-진안-2024-00253,두원길,없음,수컷,방사,코리언숏헤어|검정/회색
280,경남-함안-2024-00288,안인마을회관 앞,황금색털과 노란색털..,수컷,방사,고등어태비|황금색털과 노란색털의 빗살무늬
284,전북-진안-2024-00252,비사랑길,없음,수컷,방사,코리언숏헤어|흰색/갈색
288,서울-용산-2024-00260,용산구 보광로60길..,양호함,암컷,중성화,코숏|갈색테디
292,서울-용산-2024-00261,용산구 청파로47길..,양호함,수컷,방사,코숏|갈백색
296,서울-중구-2024-00155,남산타운,구내염발치4개진행종..,암컷,중성화,한국고양이|흰색노랑
300,서울-구로-2024-00193,서울특별시 구로구 ..,"수술후 항생제,광견..",수컷,방사,KSH|노랑
304,인천-부평-2024-00140,안남로 146,없음,수컷,중성화,한국고양이|치즈
308,인천-부평-2024-00142,백운로 14,없음,암컷,중성화,한국고양이|치즈
312,경기-광주-2024-00775,광주시 회안대로 6..,길고양이,암컷,중성화,한국고양이|노랑색
316,서울-노원-2024-00286,대진고등학교앞,.,수컷,중성화,코숏|치즈
320,서울-노원-2024-00288,대진고등학교앞,.,수컷,중성화,코숏|치즈
324,경남-마산-2024-00774,(진북면)지산1길 ..,없음,미상,포획,한국고양이|검정 흰색
328,경남-창원-2024-00539,(서상동)의창대로2..,없음,미상,포획,한국고양이|검정 갈색 흰색
332,경기-광주-2024-00768,도척면 독고개길 1..,.,수컷,중성화,"한국고양이|흰색,회색얼룩"
336,경남-마산-2024-00776,(상남동)상남시장로..,없음,미상,포획,한국고양이|회색 노랑
340,전북-정읍-2024-00599,구룡동산125-1,없음,암컷,중성화,한국고양이|삼색
344,서울-노원-2024-00285,한글비석로31길10..,.,암컷,중성화,코숏|흰검
348,전북-정읍-2024-00601,수성동한국케미칼,없음,수컷,중성화,한국고양이|BR
352,경기-남양주-2024-01091,수동 우드메탈,없음,수컷,방사,ksh|흑색
356,경남-창원-2024-00546,(대방동)창이대로8..,없음,미상,포획,한국고양이|검정 갈색 흰색
360,광주-남구-2024-00068,광주광역시 남구 양..,특이사항 없음,수컷,중성화,"코리안숏헤어|흰색, 노란색"
364,광주-동구-2024-00135,동구 충장동 학생회..,없음,수컷,중성화,코숏|검.갈.백
368,경기-광주-2024-00769,광주시 문형산안길 ..,길고양이,수컷,중성화,한국고양이|노랑색
372,전남-나주-2024-00141,나주시죽림동 남외동..,약간 사나움,암컷,중성화,한국고양이|검갈
376,경남-마산-2024-00777,(내서읍)광려천남로..,없음,미상,포획,한국고양이|연갈색 흰색
380,전북-정읍-2024-00600,수성동한국케미칼,없음,암컷,중성화,한국고양이|BR
384,경기-남양주-2024-01097,천마산로 14번안길..,없음,수컷,중성화,ksh|검정색 흰색
388,경남-창원-2024-00540,(소답동)의안로22..,없음,미상,포획,한국고양이|검정 흰색
392,경남-함안-2024-00286,산인면 입곡길 83..,없음,암컷,중성화,한국고양이|삼색
396,경기-의왕-2024-00146,등칙골 5길,없음,암컷,중성화,코숏믹스|고등어
400,경기-남양주-2024-01093,수동 우드메탈,없음,수컷,방사,ksh|턱시도
404,경기-부천-2024-00360,(원미구) 옥산로 ..,카오스,암컷,중성화,한국길고양이|카오스
408,서울-서대문-2024-00386,홍제동273-10,허피스감염 구내염 ..,수컷,방사,ksh|고등어
412,인천-부평-2024-00149,동암광장로12번길8..,고등어,수컷,방사,한국고양이|고등어
416,서울-은평-2024-00317,연서로 34길 11..,-,암컷,중성화,코숏|회갈색검정
420,서울-은평-2024-00316,갈현로 200-1,-,수컷,중성화,코숏|검정
424,인천-부평-2024-00148,동암광장로12번길8..,고등어,수컷,방사,한국고양이|고등어
428,서울-은평-2024-00315,갈현로43길 3-1..,-,암컷,중성화,코숏|검정하양
432,서울-은평-2024-00314,서오릉로 25길 2..,-,암컷,중성화,코숏|하양검정
436,경기-양평-2024-00628,경기도 양평군 용문..,매우 깨끗하며 건강..,암컷,중성화,한국|흑백
440,경기-양평-2024-00633,경기도 양평군 용문..,진드기 감영이 심하..,수컷,중성화,한국|흑백
444,경기-광명-2024-00301,경기도 광명시 하안..,캣맘 요청으로 수술..,암컷,중성화,코리안숏헤어|턱시도
448,경기-화성-2024-01102,기안동 267,없음,수컷,방사,코숏|고등어
452,서울-동작-2024-00241,노량진로227 (1..,사나움,수컷,중성화,한국고양이|흰/고등어테비
456,서울-동작-2024-00239,노량진로227 (9..,사나움,수컷,중성화,한국고양이|검정
460,경기-양평-2024-00632,경기도 양평군 용문..,영양상태가 다소 좋..,암컷,중성화,한국|황색
464,서울-은평-2024-00312,갈현로43길 3-1..,-,암컷,중성화,코숏|오렌지검정하양
468,경기-양평-2024-00626,경기도 양평군 용문..,완전한 백색의 개체..,암컷,중성화,한국|백색
472,경기-양평-2024-00631,경기도 양평군 용문..,체중이 가벼우나 수..,암컷,중성화,한국|흑백
476,서울-송파-2024-00544,가락시장,없음,암컷,중성화,코숏|갈색
480,서울-은평-2024-00310,갈현로43길 3-1..,송곳니제외 전발치되..,암컷,중성화,코숏|하양노랑검정
484,경기-용인-2024-01146,학촌로 59_12,없음,미상,포획,코숏|치즈
488,서울-송파-2024-00543,가락시장,없음,암컷,중성화,코숏|삼색
492,경기-화성-2024-01106,기안동 360-5,없음,암컷,중성화,코숏|삼색
496,경기-용인-2024-01138,중부대로 2327_..,없음,미상,포획,코숏|검흰
500,경기-화성-2024-01103,기안동 360-5,없음,수컷,방사,"코숏|검,흰"
504,경기-화성-2024-01104,기안동 360-5,없음,암컷,중성화,코숏|삼색
508,경기-용인-2024-01139,중부대로 2327_..,없음,미상,포획,코숏|검정
512,전북-정읍-2024-00596,한국케미칼,없음,수컷,방사,한국고양이|황.백줄무늬
516,경기-용인-2024-01141,중부대로 2327_..,없음,미상,포획,코숏|치즈
520,인천-부평-2024-00137,백운로 14,없음,암컷,중성화,한국고양이|노랑+흰색
524,인천-중구-2024-00167,논골1길 32-2 ..,길고양이,수컷,중성화,한국고양이|검정색
528,인천-중구-2024-00166,논골1길 32-2 ..,길고양이,암컷,중성화,한국고양이|검정색
532,경기-용인-2024-01137,양지로179번길 3..,없음,미상,포획,코숏|치즈
536,경기-용인-2024-01136,양지로179번길 3..,없음,미상,포획,코숏|고등어
540,전북-정읍-2024-00595,고부 만화길63,없음,암컷,중성화,한국고양이|검.백줄무늬
544,경기-용인-2024-01134,양지로179번길 3..,없음,미상,포획,코숏|치즈
548,경기-광명-2024-00306,경기도 광명시 범안..,없음,수컷,중성화,코리안숏헤어|턱시도
552,경기-광명-2024-00307,경기도 광명시 범안..,임신-캣맘요청 수술..,암컷,중성화,코리안숏헤어|삼색
556,인천-계양-2024-00138,효성동 11-11,경계심함,수컷,중성화,한국고양이|턱시도
560,인천-부평-2024-00144,동암광장로12번길8..,마취후 수술대위에서..,암컷,중성화,한국고양이|고등어
564,경북-문경-2024-00185,달지교회,목끈 이있음,암컷,중성화,한국고양이|흑갈.흰색
568,강원-속초-2024-00130,설악현대,특이사항 없음,암컷,중성화,코숏|흑/회
572,경기-광명-2024-00303,경기도 광명시 범안..,임신-캣맘요청 수술..,암컷,중성화,코리안숏헤어|삼색
576,경기-부천-2024-00359,(오정구) 삼정동 ..,블랙,암컷,중성화,한국길고양이|블랙
580,경기-고양-2024-00590,견달산로 161번길..,자궁없음,암컷,중성화,ksh| 삼색
584,대전-중구-2024-00081,문화동 251-2,없음,수컷,방사,코리안숏헤어|황흰
588,인천-서구-2024-00492,서구 승학로333,없음,수컷,방사,코숏|고등어
592,경북-문경-2024-00184,농암1리,순하나 경계함,암컷,중성화,한국고양이|삼색
596,경기-부천-2024-00363,(소사구) 괴안동 ..,젖소,암컷,중성화,한국길고양이|젖소
600,경북-상주-2024-00534,태봉1길 27-2,무,수컷,방사,ksh|검정
604,경남-고성-2024-00880,한국 남동발전 고성..,없음,수컷,방사,한국고양이|갈색
608,경남-고성-2024-00878,한국 남동발전 고성..,없음,수컷,방사,한국고양이|갈색
612,경남-통영-2024-00285,정량동 망일4길 2..,까칠함,수컷,방사,코리안 숏헤어|고등어태비&흰색
616,울산-울주-2024-00305,웅촌면 은현리,얌전한 편,수컷,방사,코숏|흰색
620,경남-고성-2024-00879,한국 남동발전 고성..,없음,암컷,중성화,한국고양이|갈색
624,인천-부평-2024-00134,배곶로20번길 13..,없음,수컷,방사,한국고양이|치즈
628,경북-상주-2024-00533,태봉1길 27-2,무,수컷,방사,ksh|검정
632,대구-수성-2024-00266,무학로 154,.,암컷,중성화,코숏|흰 + 검 + 갈
636,대구-수성-2024-00267,지범로 54길 15..,.,수컷,방사,코숏|흰 + 검
640,충남-천안-2024-00750,목천읍 응원1길 3..,없음,암컷,중성화,코숏|카오스
644,서울-용산-2024-00255,용산구 청파로47길..,양호함,수컷,방사,코숏|백갈색테디
648,경기-고양-2024-00587,식사동722-2,,수컷,방사,ksh|고등어
652,대구-수성-2024-00265,달구벌대로669길7..,-,수컷,방사,코숏|치즈태비
656,강원-원주-2024-00033,행구로 357,무,암컷,포획,코숏|검정
660,경기-고양-2024-00589,식사동288-76,,암컷,중성화,ksh|젖소
664,경기-남양주-2024-01078,가운동휴먼시아,"사나움,진통제 투여..",암컷,중성화,k.c.|삼색
668,경남-통영-2024-00281,훌훌 게스트하우스..,없음,수컷,방사,코숏|고등어
672,경기-평택-2024-00427,경기도 평택시 포승..,삼색,암컷,,코숏|삼색
676,경기-화성-2024-01097,금곡동 69-1,없음,수컷,방사,코숏|고등어
680,경기-수원-2024-00306,원천동 203-8,-,수컷,중성화,한국고양이|젖소
684,강원-속초-2024-00128,설악현대,특이사항 없음,수컷,방사,코숏|흑/흰
688,인천-중구-2024-00165,을왕로13번길 87..,길고양이,암컷,중성화,한국고양이|치즈
692,경남-고성-2024-00874,구만면 광덕5길 4..,일반적임,암컷,중성화,코숏|흰/검
696,충북-진천-2024-00165,문백 장월리 255..,특이사항없음,암컷,중성화,한국고양이|흰색
700,경남-함양-2024-00126,경남 함양군 함양읍..,온순함,수컷,방사,한국고양이|흑색
704,경남-통영-2024-00289,경상남도 통영시 광..,검정,수컷,방사,코리안숏헤어|검정
708,경남-고성-2024-00876,송천2길 52,일반적임,암컷,중성화,코숏|삼색
712,경남-통영-2024-00290,경상남도 통영시 광..,치즈,수컷,방사,코리안숏헤어|치즈
716,경기-평택-2024-00430,경기도 평택시 팽성..,삼색이,암컷,중성화,코리안숏헤어|삼색이
720,경남-합천-2024-00291,삼가면 금리 3길 ..,온순,암컷,중성화,한국고양이|삼색이
724,경기-평택-2024-00438,진위로 65-95,조금 예민,수컷,중성화,코숏|노랑
728,경남-고성-2024-00875,송천2길 52,일반적임,암컷,중성화,코숏|얼룩
732,경남-통영-2024-00291,경상남도 통영시 광..,고등어,수컷,방사,코리안숏헤어|고등어
736,경기-고양-2024-00585,산황동758-5 부..,,수컷,방사,ksh|치즈
740,전북-정읍-2024-00593,내장산로52-29,없음,암컷,중성화,한국고양이|검.백줄무늬
744,제주-제주-2024-01217,연동 비월 2길 1..,없음,수컷,방사,ksc|고등어
748,전북-정읍-2024-00592,북면큐바이오텍,없음,수컷,방사,한국고양이|검.백줄무늬
752,울산-울주-2024-00308,두서면 수정길 23..,상태양호,수컷,방사,코숏|회색/흰색
756,울산-울주-2024-00307,상북면 배내로106..,상태양호,수컷,방사,코숏|노랑
760,서울-송파-2024-00542,임금공원/2-11,N/A,수컷,방사,DSH|khaki/white
764,경남-마산-2024-00755,(진북면)진북예곡3..,없음,미상,포획,한국고양이|검정
768,경남-마산-2024-00768,(합성동)합성동 1..,없음,미상,포획,한국고양이|흰색 연갈색 검정
772,경남-창원-2024-00532,(서상동)서상로12..,없음,미상,포획,한국고양이|검정 갈색
776,전남-나주-2024-00138,나주시노안면구축길9..,약간 사나움,수컷,방사,한국고양이|흰색
780,경남-창원-2024-00536,(가음동)원이대로8..,없음,미상,포획,한국고양이|검정 흰색
784,경남-마산-2024-00752,(완월동)완월북8길..,없음,미상,포획,한국고양이|검정
788,경남-마산-2024-00760,(내서읍)원계리 6..,없음,미상,포획,한국고양이|흰색 검정
792,경남-함안-2024-00283,산인면 신산2길 5..,없음,암컷,중성화,한국고양이|노란색 검정색
796,서울-동대문-2024-00210,홍릉로1가길 6,특이사항 없음,수컷,중성화,코숏|치즈
800,경남-함안-2024-00284,산인면 신산2길 5..,없음,암컷,중성화,한국고양이|노란색 흰색
804,경기-남양주-2024-01080,천마산로 14번안길..,없음,암컷,중성화,ksh|검정색 갈색 흰색
808,경남-마산-2024-00750,(완월동)완월북8길..,없음,미상,포획,한국고양이|검정 흰색
812,경남-마산-2024-00758,(진북면)진북산업로..,없음,미상,포획,한국고양이|검정 흰색
816,경기-광주-2024-00771,광주시 텃골길 26..,길고양이,수컷,방사,한국고양이|노랑색
820,광주-북구-2024-00161,북구 교육대학교 5..,없음,수컷,중성화,코숏|고등어
824,경기-광주-2024-00766,광주시 산수로 15..,길고양이,암컷,중성화,한국고양이|삼색
828,경기-광주-2024-00772,광주시 텃골길 26..,길고양이,수컷,방사,한국고양이|노랑색
832,서울-노원-2024-00281,산장파크빌주변,.,암컷,포획,코숏|삼색
836,경남-마산-2024-00764,(회원동)회원동29..,없음,미상,포획,한국고양이|흰색 회색 검정
840,광주-광주광역시-2024-00679,남구 진월동 풍림아..,없음,수컷,중성화,코숏|갈.흰
844,광주-동구-2024-00133,동구 대인동 롯데백..,없음,암컷,중성화,코숏|흰.검
848,서울-송파-2024-00548,송파대로 36길,건강상 큰 이상 없..,수컷,방사,믹스|흰
852,경남-창원-2024-00534,(소답동)의안로59..,없음,미상,포획,한국고양이|검정 흰색
856,경기-광주-2024-00765,광주시 직동 102..,길고양이,암컷,중성화,한국고양이|검백색
860,경남-창원-2024-00531,(팔용동)남산로1번..,없음,미상,포획,한국고양이|노랑 검정 흰색
864,경남-마산-2024-00751,(완월동)완월북8길..,없음,미상,포획,한국고양이|검정
868,경남-마산-2024-00770,(내서읍)원계증산길..,없음,미상,포획,한국고양이|연갈색 검정
872,경기-광주-2024-00774,광주시 능평동 26..,길고양이,암컷,중성화,한국고양이|삼색
876,경남-마산-2024-00757,(월영동)월영현대아..,없음,미상,포획,한국고양이|노랑 흰색
880,서울-중구-2024-00152,남산타운,없음,암컷,중성화,한국고양이|흰색노랑
884,경남-마산-2024-00766,(내서읍)송평로 4..,없음,미상,포획,한국고양이|연갈색 회색
888,경남-창원-2024-00535,(동정동)동정동 9..,없음,미상,포획,한국고양이|노랑
892,서울-중구-2024-00154,순화어린이공원,천식기침구내염비만,수컷,방사,한국고양이|흰색노랑
896,경기-남양주-2024-01084,송송골길 30-16..,없음,암컷,중성화,ksh|노랑&흰색
900,광주-동구-2024-00134,동구 대인동 롯데백..,없음,수컷,중성화,코숏|흰.검
904,경기-구리-2024-00128,경춘로 162번길 ..,없음,암컷,중성화,코숏|카오스
908,경남-통영-2024-00278,정량동 망일4길 2..,활발함,수컷,방사,코리안 숏헤어|고등어태비
912,경남-통영-2024-00277,정량동 망일4길 2..,안면부 상처,수컷,방사,코리안 숏헤어|고등어태비 & 흰색
916,경남-통영-2024-00276,정량동 망일4길 2..,출산 2개월 경과,암컷,방사,코리안 숏헤어|고등어태비
920,충북-청주-2024-01138,대성로 280번길,온 몸 고등어,수컷,방사,코숏|고등어
924,충북-청주-2024-01137,대성로 280번길,가슴 배 부위 흰 ..,수컷,방사,코숏|고등어
928,대구-남구-2024-00080,대구 남구 명덕로 ..,무,암컷,중성화,"코숏|흰색,갈색 ,검은색"
932,서울-관악-2024-00166,난향길 92,없음,수컷,중성화,한국고양이|검정흰색
936,경기-파주-2024-00347,경기도 파주시 문산..,없음,수컷,방사,코숏|치즈
940,경기-구리-2024-00127,인창동 605-5,없음,암컷,중성화,코숏|고등어
944,충남-태안-2024-00270,거주지 인근,사람에게 공격성을 ..,수컷,방사,코리안숏헤어|흑백
948,경기-파주-2024-00352,하지석길 146-4..,예민함,수컷,방사,코숏|치즈
952,경기-파주-2024-00351,방촌로88-28,예민함,암컷,방사,코숏|고등어
956,경기-부천-2024-00349,(소사구) 옥길로 ..,고등어,수컷,중성화,한국길고양이|고등어
960,대구-달서-2024-00243,대구광역시 달서구 ..,없음,수컷,방사,KSH|갈색 흰색
964,경기-안산-2024-00667,와동 769-5,없음,수컷,방사,코숏|치즈
968,경기-성남-2024-00336,분당구 야탑동 12..,없음,암컷,중성화,DSH|노랑(치즈)
972,경남-진주-2024-00852,봉수대길 6번길 7..,온순,수컷,방사,"코숏|노랑,흰색"
976,대구-중구-2024-00138,황실맨션,없슴,수컷,방사,믹스|회색
980,경기-화성-2024-01092,팔탄면 하저리 86..,없음,암컷,방사,코숏|삼색
984,인천-서구-2024-00487,서구 천마로14번길..,없음,수컷,방사,코숏|파티칼라
988,대구-중구-2024-00139,황실맨션,없슴,암컷,방사,한국고양이|금색
992,인천-남동-2024-00311,석촌로36번길17,"검정,코,네 발끝 ..",수컷,방사,코숏|검정
996,경기-남양주-2024-01071,다산 한양수자인,"사나움,진통제 투여..",암컷,방사,k.c.|삼색
1000,경남-고성-2024-00869,경상남도 고성군 하..,사나움,수컷,방사,코리안숏헤어|흰검
1004,전북-전주-2024-01117,인봉1길 54,"눈위검은털, 종합백..",수컷,방사,"한국고양이|검,흰"
1008,경남-고성-2024-00868,경상남도 고성군 하..,사나움,수컷,방사,코리안숏헤어|흰검
1012,제주-제주-2024-01211,이도일동 광양 6길..,.,수컷,방사,코리안숏헤어|고등어
1016,충남-태안-2024-00273,태안군 안면읍 방..,순하고 잘따름,수컷,중성화,믹스|흑백색
1020,전북-전주-2024-01120,덕진구 도당산로 5..,종합백신 광견병백신..,암컷,중성화,KSH|삼색
1024,경기-성남-2024-00337,분당구 동판교로 9..,없음,암컷,방사,DSH|삼색
1028,서울-용산-2024-00256,서계동 242-38..,없음,수컷,방사,"길고양이|갈색, 검은 줄"
1032,경기-남양주-2024-01069,사릉로 적성길17,"사나움,진통제 투여..",암컷,방사,k.c.|흰색
1036,경기-안산-2024-00665,신각길18,없음,암컷,중성화,코숏|젖소
1040,경남-함안-2024-00280,도음길334-1,황금색털과 노란색털..,암컷,방사,고등어태비|황금색털과 노란색털의 빗살무늬
1044,경기-구리-2024-00125,검배로 13번길 5..,없음,암컷,방사,코숏|검흰
1048,인천-계양-2024-00139,서운동 효성해링턴 ..,"1달반전에 분만, ..",암컷,중성화,코숏|고등어
1052,광주-남구-2024-00066,광주광역시 남구 군..,특이사항 없음,수컷,중성화,"코리안숏헤어|흰색, 검정색"
1056,광주-남구-2024-00065,광주광역시 남구 군..,특이사항 없음,수컷,중성화,코리안숏헤어|검정
1060,광주-북구-2024-00156,북구 교육대학교 음..,허피스 심함,수컷,중성화,코숏|노
1064,경남-마산-2024-00745,(두척동)두척1길 ..,없음,미상,포획,한국고양이|검정 흰색 회색
1068,광주-광주광역시-2024-00676,북구 풍향동 교육대..,없음,수컷,중성화,코숏|흰.갈
1072,경남-마산-2024-00740,(진전면)회진로 1..,없음,미상,포획,한국고양이|흰색 노랑 검정
1076,경남-마산-2024-00746,(구암동)구암북4길..,없음,미상,포획,한국고양이|흰색 검정
1080,광주-광주광역시-2024-00678,남구 방림동 미스터..,없음,암컷,중성화,코숏|갈.흰
1084,서울-중구-2024-00150,필동로8가길26,없음,수컷,방사,한국고양이|흰색검정
1088,경남-마산-2024-00742,(내서읍)송평로 4..,없음,미상,포획,한국고양이|흰색 검정
1092,경남-마산-2024-00735,(진북면)지산1길 ..,없음,미상,포획,한국고양이|흰색 검정
1096,경남-마산-2024-00744,(내서읍)송평로 4..,없음,미상,포획,한국고양이|흰색 검정 회색
1100,경남-마산-2024-00734,(진북면)서북동길 ..,없음,미상,포획,한국고양이|노랑
1104,광주-남구-2024-00067,광주광역시 남구 대..,특이사항 없음,암컷,중성화,코리안숏헤어|치
1108,경남-창원-2024-00529,(소답동)소답동 5..,없음,미상,포획,한국고양이|흰색 검정 갈색
1112,경기-남양주-2024-01075,고래산로 215-8..,없음,수컷,방사,ksh|노랑&흰색
1116,경기-남양주-2024-01077,화도 더드림핑,없음,암컷,방사,ksh|고등어
1120,충남-태안-2024-00274,태안군 안면읍 방..,순하고 잘따름,암컷,중성화,믹스|줄무늬
1124,광주-북구-2024-00157,북구 교육대학교 음..,없음,암컷,중성화,코숏|흰.노
1128,광주-북구-2024-00158,북구 교육대학교 음..,없음,수컷,중성화,코숏|흰.고등
1132,서울-은평-2024-00307,가좌로 11가길 3..,-,암컷,중성화,코숏|하양회색검정
1136,경기-광명-2024-00300,경기도 광명시 너부..,임신묘 - 추가 2..,암컷,중성화,코리안숏헤어|카오스
1140,서울-동작-2024-00242,장승배기로27길 1..,사나움 분만경력,암컷,방사,KSH|검정색.흰색
1144,서울-은평-2024-00305,연서로 16길 32..,-,암컷,중성화,코숏|하양노랑검정
1148,전북-전주-2024-01119,덕진구 도당산로 5..,종합백신 광견병백신..,수컷,중성화,KSH|흰새갈색
1152,서울-관악-2024-00167,청림3다길30,없음,암컷,방사,한국고양이|검정흰색
1156,서울-동작-2024-00243,장승배기로27길 1..,사나움 분만경력,암컷,방사,KSH|검정색.흰색
1160,경기-구리-2024-00126,검배로 13번길 5..,없음,암컷,방사,코숏|검흰
1164,경기-부천-2024-00357,(소사구) 경인로 ..,턱시도,암컷,중성화,한국길고양이|턱시도
1168,경기-용인-2024-01127,중부대로747번길 ..,없음,미상,포획,코숏|고등어
